type,issue,evidence,risk_band,recommended_action,expected_business_benefit,urgency,supporting_metrics
Inventory Replenishment,SKU-00047 at West Michael Distribution Center has a 71% probability of stockout next week (High risk).,"Demand increased 25% (1606 -> 2012 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.8 to 2.9 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹6,523 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.71, 'sku': 'SKU-00047', 'warehouse': 'West Michael Distribution Center'}"
Inventory Replenishment,SKU-00047 at New Jessica Distribution Center has a 77% probability of stockout next week (High risk).,"Demand increased 21% (2034 -> 2458 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹7,066 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.773, 'sku': 'SKU-00047', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00047 at Lake Mark Distribution Center has a 65% probability of stockout next week (High risk).,"Demand increased 51% (1905 -> 2882 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.2 to 1.2 days of supply.; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹5,979 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.652, 'sku': 'SKU-00047', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00048 at East Jessetown Distribution Center has a 50% probability of stockout next week (High risk).,"Demand increased 50% (1809 -> 2716 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 4.8 to 7.7 days of supply.; Late deliveries for this product-warehouse rose from 0 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,045 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.504, 'sku': 'SKU-00048', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00048 at Ericmouth Distribution Center has a 54% probability of stockout next week (High risk).,"Demand increased 17% (1614 -> 1890 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 3.9 to 4.7 days of supply.; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,209 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.543, 'sku': 'SKU-00048', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00048 at Ramirezstad Distribution Center has a 63% probability of stockout next week (High risk).,"Demand increased 40% (1702 -> 2386 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,618 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.633, 'sku': 'SKU-00048', 'warehouse': 'Ramirezstad Distribution Center'}"
Inventory Replenishment,SKU-00048 at South Noah Distribution Center has a 55% probability of stockout next week (High risk).,"Demand increased 11% (1772 -> 1964 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,290 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.551, 'sku': 'SKU-00048', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00050 at Herrerafurt Distribution Center has a 57% probability of stockout next week (High risk).,"Demand decreased 30% (2920 -> 2042 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,950 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.572, 'sku': 'SKU-00050', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00051 at New Kellystad Distribution Center has a 52% probability of stockout next week (High risk).,"Demand decreased 14% (206 -> 176 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹4,744 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.523, 'sku': 'SKU-00051', 'warehouse': 'New Kellystad Distribution Center'}"
Inventory Replenishment,SKU-00053 at New Roberttown Distribution Center has a 58% probability of stockout next week (High risk).,Inventory coverage improved from 5.1 to 6.3 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹104 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.583, 'sku': 'SKU-00053', 'warehouse': 'New Roberttown Distribution Center'}"
Inventory Replenishment,SKU-00053 at Lake Roberto Distribution Center has a 53% probability of stockout next week (High risk).,"Demand decreased 36% (2533 -> 1609 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹93 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.529, 'sku': 'SKU-00053', 'warehouse': 'Lake Roberto Distribution Center'}"
Inventory Replenishment,SKU-00053 at Ericmouth Distribution Center has a 67% probability of stockout next week (High risk).,Inventory coverage improved from 6.2 to 7.1 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹118 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.666, 'sku': 'SKU-00053', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00053 at Lake Chad Distribution Center has a 66% probability of stockout next week (High risk).,"Demand decreased 31% (3037 -> 2082 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.3 to 9.3 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹118 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.66, 'sku': 'SKU-00053', 'warehouse': 'Lake Chad Distribution Center'}"
Inventory Replenishment,SKU-00053 at Jacquelineland Distribution Center has a 72% probability of stockout next week (High risk).,"Demand decreased 37% (3125 -> 1978 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹129 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.725, 'sku': 'SKU-00053', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00053 at New Jessica Distribution Center has a 68% probability of stockout next week (High risk).,"Demand increased 128% (1457 -> 3319 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 11 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 6 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹122 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.679, 'sku': 'SKU-00053', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00054 at New Kellystad Distribution Center has a 66% probability of stockout next week (High risk).,"Demand increased 33% (946 -> 1263 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 4.1 to 0.0 days of supply.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹180 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.664, 'sku': 'SKU-00054', 'warehouse': 'New Kellystad Distribution Center'}"
Inventory Replenishment,SKU-00055 at South Noah Distribution Center has a 56% probability of stockout next week (High risk).,"Demand decreased 20% (2233 -> 1777 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,618 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.558, 'sku': 'SKU-00055', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00057 at Port Keith Distribution Center has a 62% probability of stockout next week (High risk).,Inventory coverage improved from 16.2 to 18.3 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,867 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.616, 'sku': 'SKU-00057', 'warehouse': 'Port Keith Distribution Center'}"
Inventory Replenishment,SKU-00057 at Port Jesseville Distribution Center has a 55% probability of stockout next week (High risk).,"Demand increased 14% (666 -> 762 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 2 to 3 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,589 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.551, 'sku': 'SKU-00057', 'warehouse': 'Port Jesseville Distribution Center'}"
Inventory Replenishment,SKU-00058 at North Judithbury Distribution Center has a 65% probability of stockout next week (High risk).,"Demand increased 38% (2374 -> 3276 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹566 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.65, 'sku': 'SKU-00058', 'warehouse': 'North Judithbury Distribution Center'}"
Inventory Replenishment,SKU-00058 at Lake Debra Distribution Center has a 65% probability of stockout next week (High risk).,"Demand increased 38% (940 -> 1300 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 2.9 to 4.2 days of supply.; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹583 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.654, 'sku': 'SKU-00058', 'warehouse': 'Lake Debra Distribution Center'}"
Inventory Replenishment,SKU-00058 at Robinsonshire Distribution Center has a 55% probability of stockout next week (High risk).,"Demand decreased 22% (1447 -> 1122 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹495 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.552, 'sku': 'SKU-00058', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00058 at New Jessica Distribution Center has a 56% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹495 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.564, 'sku': 'SKU-00058', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00061 at Jacquelineland Distribution Center has a 55% probability of stockout next week (High risk).,"Demand decreased 21% (140 -> 111 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹193 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.551, 'sku': 'SKU-00061', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00062 at New Jessica Distribution Center has a 58% probability of stockout next week (High risk).,"Demand increased 55% (1270 -> 1969 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 3 to 5 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹311 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.579, 'sku': 'SKU-00062', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00063 at North Judithbury Distribution Center has a 70% probability of stockout next week (High risk).,"Demand increased 16% (1265 -> 1468 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 15.3 to 5.4 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,115 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.705, 'sku': 'SKU-00063', 'warehouse': 'North Judithbury Distribution Center'}"
Inventory Replenishment,SKU-00063 at East Jessetown Distribution Center has a 75% probability of stockout next week (High risk).,Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.,High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,179 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.747, 'sku': 'SKU-00063', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00063 at Lisatown Distribution Center has a 56% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹892 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.564, 'sku': 'SKU-00063', 'warehouse': 'Lisatown Distribution Center'}"
Inventory Replenishment,SKU-00063 at Jacquelineland Distribution Center has a 68% probability of stockout next week (High risk).,"Demand increased 17% (1221 -> 1430 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,083 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.676, 'sku': 'SKU-00063', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00070 at North Noahstad Distribution Center has a 53% probability of stockout next week (High risk).,"Demand increased 34% (438 -> 586 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 0.4 to 0.2 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹922 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.534, 'sku': 'SKU-00070', 'warehouse': 'North Noahstad Distribution Center'}"
Inventory Replenishment,SKU-00071 at East Jill Distribution Center has a 54% probability of stockout next week (High risk).,"Demand increased 70% (330 -> 559 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹565 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.535, 'sku': 'SKU-00071', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00071 at Robinsonshire Distribution Center has a 54% probability of stockout next week (High risk).,"Demand decreased 48% (414 -> 216 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 13.8 to 9.1 days of supply.; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹565 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.538, 'sku': 'SKU-00071', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00072 at Lake Debra Distribution Center has a 52% probability of stockout next week (High risk).,"Demand increased 40% (400 -> 559 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,074 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.523, 'sku': 'SKU-00072', 'warehouse': 'Lake Debra Distribution Center'}"
Inventory Replenishment,SKU-00073 at New Jessica Distribution Center has a 53% probability of stockout next week (High risk).,"Demand increased 75% (670 -> 1172 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,398 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.534, 'sku': 'SKU-00073', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00074 at East Jill Distribution Center has a 79% probability of stockout next week (High risk).,"Demand increased 25% (3802 -> 4771 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,302 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.786, 'sku': 'SKU-00074', 'warehouse': 'East Jill Distribution Center'}"
Inventory Replenishment,SKU-00074 at New Roberttown Distribution Center has a 50% probability of stockout next week (High risk).,"Demand decreased 17% (1286 -> 1070 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹835 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.505, 'sku': 'SKU-00074', 'warehouse': 'New Roberttown Distribution Center'}"
Inventory Replenishment,SKU-00074 at East Jessetown Distribution Center has a 72% probability of stockout next week (High risk).,"Demand increased 39% (3354 -> 4657 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 8 to 9 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,202 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.72, 'sku': 'SKU-00074', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00074 at Robinsonshire Distribution Center has a 73% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,235 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.731, 'sku': 'SKU-00074', 'warehouse': 'Robinsonshire Distribution Center'}"
Inventory Replenishment,SKU-00074 at Cassandraton Distribution Center has a 71% probability of stockout next week (High risk).,"Demand increased 34% (2876 -> 3861 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 5 to 6 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,168 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.706, 'sku': 'SKU-00074', 'warehouse': 'Cassandraton Distribution Center'}"
Inventory Replenishment,SKU-00074 at Lake Mark Distribution Center has a 57% probability of stockout next week (High risk).,"Demand decreased 28% (6238 -> 4464 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹935 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.567, 'sku': 'SKU-00074', 'warehouse': 'Lake Mark Distribution Center'}"
Inventory Replenishment,SKU-00075 at East Jessetown Distribution Center has a 58% probability of stockout next week (High risk).,"Demand increased 73% (1215 -> 2096 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 14.2 to 4.7 days of supply.; Late deliveries for this product-warehouse rose from 3 to 4 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,330 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.58, 'sku': 'SKU-00075', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00075 at North Noahstad Distribution Center has a 63% probability of stockout next week (High risk).,"Demand increased 42% (1268 -> 1805 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 7 orders over the last 4 weeks.; Stockout-flagged orders increased from 1 to 2 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,421 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.626, 'sku': 'SKU-00075', 'warehouse': 'North Noahstad Distribution Center'}"
Inventory Replenishment,SKU-00075 at Jacquelineland Distribution Center has a 56% probability of stockout next week (High risk).,"Demand increased 74% (925 -> 1608 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 9.6 to 7.2 days of supply.; Late deliveries for this product-warehouse rose from 0 to 3 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,284 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.555, 'sku': 'SKU-00075', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00075 at South Noah Distribution Center has a 59% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,376 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.591, 'sku': 'SKU-00075', 'warehouse': 'South Noah Distribution Center'}"
Inventory Replenishment,SKU-00076 at Herrerafurt Distribution Center has a 61% probability of stockout next week (High risk).,"No material week-over-week deviation found in demand, inventory coverage, or delivery reliability for this product-warehouse in the most recent comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹660 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.611, 'sku': 'SKU-00076', 'warehouse': 'Herrerafurt Distribution Center'}"
Inventory Replenishment,SKU-00077 at Lake Debra Distribution Center has a 51% probability of stockout next week (High risk).,"Demand decreased 12% (350 -> 309 units/week, trailing 4wk vs prior 4wk).; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹630 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.506, 'sku': 'SKU-00077', 'warehouse': 'Lake Debra Distribution Center'}"
Inventory Replenishment,SKU-00078 at Ericmouth Distribution Center has a 61% probability of stockout next week (High risk).,"Demand increased 28% (1072 -> 1378 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,948 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.606, 'sku': 'SKU-00078', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00078 at Ramirezstad Distribution Center has a 74% probability of stockout next week (High risk).,"Demand decreased 52% (3780 -> 1812 units/week, trailing 4wk vs prior 4wk).; Inventory coverage improved from 0.7 to 3.8 days of supply.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,636 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.739, 'sku': 'SKU-00078', 'warehouse': 'Ramirezstad Distribution Center'}"
Inventory Replenishment,SKU-00079 at North Judithbury Distribution Center has a 72% probability of stockout next week (High risk).,"Demand increased 21% (1124 -> 1361 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 1 to 2 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹1,687 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.719, 'sku': 'SKU-00079', 'warehouse': 'North Judithbury Distribution Center'}"
Inventory Replenishment,SKU-00083 at Ericmouth Distribution Center has a 73% probability of stockout next week (High risk).,"Demand increased 81% (1837 -> 3317 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 2 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹496 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.729, 'sku': 'SKU-00083', 'warehouse': 'Ericmouth Distribution Center'}"
Inventory Replenishment,SKU-00085 at North Judithbury Distribution Center has a 65% probability of stockout next week (High risk).,"Demand increased 18% (1004 -> 1187 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹905 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.652, 'sku': 'SKU-00085', 'warehouse': 'North Judithbury Distribution Center'}"
Inventory Replenishment,SKU-00085 at East Jessetown Distribution Center has a 51% probability of stockout next week (High risk).,"Demand increased 25% (796 -> 993 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 2.2 to 0.0 days of supply.; Late deliveries for this product-warehouse rose from 1 to 3 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹686 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.506, 'sku': 'SKU-00085', 'warehouse': 'East Jessetown Distribution Center'}"
Inventory Replenishment,SKU-00085 at Jacquelineland Distribution Center has a 50% probability of stockout next week (High risk).,"Demand decreased 17% (954 -> 796 units/week, trailing 4wk vs prior 4wk).",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,Avoid an estimated ₹686 in at-risk revenue if the stockout materializes as forecast.,This week,"{'stockout_probability': 0.503, 'sku': 'SKU-00085', 'warehouse': 'Jacquelineland Distribution Center'}"
Inventory Replenishment,SKU-00086 at New Jessica Distribution Center has a 53% probability of stockout next week (High risk).,"Demand increased 42% (1580 -> 2248 units/week, trailing 4wk vs prior 4wk).; Late deliveries for this product-warehouse rose from 0 to 1 orders over the last 4 weeks.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹2,807 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.53, 'sku': 'SKU-00086', 'warehouse': 'New Jessica Distribution Center'}"
Inventory Replenishment,SKU-00087 at Lake Chad Distribution Center has a 59% probability of stockout next week (High risk).,"Demand decreased 19% (3422 -> 2775 units/week, trailing 4wk vs prior 4wk).; Inventory coverage declined from 5.3 to 2.3 days of supply.; Late deliveries for this product-warehouse rose from 7 to 8 orders over the last 4 weeks.; Stockout-flagged orders increased from 0 to 1 in the same comparison window.",High,Trigger immediate replenishment order and review reorder point for this SKU-warehouse pair.,"Avoid an estimated ₹3,920 in at-risk revenue if the stockout materializes as forecast.",This week,"{'stockout_probability': 0.588, 'sku': 'SKU-00087', 'warehouse': 'Lake Chad Distribution Center'}"
